date,state,fips,cases,deaths
3/1/2020,Arizona,4,1,0
3/1/2020,California,6,33,0
3/1/2020,Florida,12,2,0
3/1/2020,Illinois,17,3,0
3/1/2020,Massachusetts,25,1,0
3/1/2020,Nebraska,31,13,0
3/1/2020,New York,36,1,0
3/1/2020,Oregon,41,2,0
3/1/2020,Rhode Island,44,2,0
3/1/2020,Texas,48,11,0
3/1/2020,Utah,49,1,0
3/1/2020,Washington,53,17,3
3/1/2020,Wisconsin,55,1,0
3/2/2020,Arizona,4,1,0
3/2/2020,California,6,38,0
3/2/2020,Florida,12,2,0
3/2/2020,Georgia,13,2,0
3/2/2020,Illinois,17,4,0
3/2/2020,Massachusetts,25,2,0
3/2/2020,Nebraska,31,13,0
3/2/2020,New Hampshire,33,1,0
3/2/2020,New York,36,1,0
3/2/2020,Oregon,41,2,0
3/2/2020,Rhode Island,44,2,0
3/2/2020,Texas,48,11,0
3/2/2020,Utah,49,1,0
3/2/2020,Washington,53,23,6
3/2/2020,Wisconsin,55,1,0
3/3/2020,Arizona,4,2,0
3/3/2020,California,6,45,0
3/3/2020,Florida,12,3,0
3/3/2020,Georgia,13,2,0
3/3/2020,Illinois,17,4,0
3/3/2020,Massachusetts,25,2,0
3/3/2020,Nebraska,31,13,0
3/3/2020,New Hampshire,33,2,0
3/3/2020,New York,36,2,0
3/3/2020,North Carolina,37,1,0
3/3/2020,Oregon,41,2,0
3/3/2020,Rhode Island,44,2,0
3/3/2020,Texas,48,11,0
3/3/2020,Utah,49,1,0
3/3/2020,Washington,53,32,10
3/3/2020,Wisconsin,55,1,0
3/4/2020,Arizona,4,2,0
3/4/2020,California,6,55,1
3/4/2020,Florida,12,3,0
3/4/2020,Georgia,13,2,0
3/4/2020,Illinois,17,4,0
3/4/2020,Massachusetts,25,2,0
3/4/2020,Nebraska,31,13,0
3/4/2020,New Hampshire,33,2,0
3/4/2020,New Jersey,34,1,0
3/4/2020,New York,36,11,0
3/4/2020,North Carolina,37,1,0
3/4/2020,Oregon,41,2,0
