date,state,fips,cases,deaths
3/1/2021,Alabama,1,493769,9931
3/1/2021,Alaska,2,58229,289
3/1/2021,Arizona,4,818268,15979
3/1/2021,Arkansas,5,322509,5250
3/1/2021,California,6,3573775,52487
3/1/2021,Colorado,8,432186,6046
3/1/2021,Connecticut,9,282626,7651
3/1/2021,Delaware,10,87080,1422
3/1/2021,District of Columbia,11,40684,1019
3/1/2021,Florida,12,1910913,30998
3/1/2021,Georgia,13,983879,16834
3/1/2021,Guam,66,8706,132
3/1/2021,Hawaii,15,27499,436
3/1/2021,Idaho,16,171618,1869
3/1/2021,Illinois,17,1191207,22759
3/1/2021,Indiana,18,665422,12595
3/1/2021,Iowa,19,336890,5472
3/1/2021,Kansas,20,297436,4743
3/1/2021,Kentucky,21,408854,4802
3/1/2021,Louisiana,22,430504,9628
3/1/2021,Maine,23,44762,703
3/1/2021,Maryland,24,382884,7879
3/1/2021,Massachusetts,25,582543,16144
3/1/2021,Michigan,26,646502,16509
3/1/2021,Minnesota,27,485298,6554
3/1/2021,Mississippi,28,294994,6681
3/1/2021,Missouri,29,525206,8385
3/1/2021,Montana,30,100115,1358
3/1/2021,Nebraska,31,201556,2205
3/1/2021,Nevada,32,294047,4957
3/1/2021,New Hampshire,33,75588,1170
3/1/2021,New Jersey,34,792496,23273
3/1/2021,New Mexico,35,185297,3731
3/1/2021,New York,36,1650560,47247
3/1/2021,North Carolina,37,862880,11286
3/1/2021,North Dakota,38,99882,1475
3/1/2021,Northern Mariana Islands,69,143,2
3/1/2021,Ohio,39,968874,17348
3/1/2021,Oklahoma,40,424888,4478
3/1/2021,Oregon,41,155873,2222
3/1/2021,Pennsylvania,42,938308,24065
3/1/2021,Puerto Rico,72,134199,2037
3/1/2021,Rhode Island,44,126588,2517
3/1/2021,South Carolina,45,517976,8562
3/1/2021,South Dakota,46,112470,1888
3/1/2021,Tennessee,47,761891,11327
3/1/2021,Texas,48,2658389,44078
3/1/2021,Utah,49,371548,1940
3/1/2021,Vermont,50,15284,205
3/1/2021,Virgin Islands,78,2646,25
3/1/2021,Virginia,51,577174,8783
3/1/2021,Washington,53,343723,5038
3/1/2021,West Virginia,54,132048,2300
3/1/2021,Wisconsin,55,617700,7019
3/1/2021,Wyoming,56,54471,671
3/2/2021,Alabama,1,494421,9991
3/2/2021,Alaska,2,58383,290
3/2/2021,Arizona,4,819281,16065
