date,cases,deaths
3/1/2020,88,3
3/2/2020,104,6
3/3/2020,125,10
3/4/2020,161,12
3/5/2020,228,12
3/6/2020,311,15
3/7/2020,428,19
3/8/2020,547,22
3/9/2020,748,26
3/10/2020,1018,31
3/11/2020,1263,37
3/12/2020,1668,43
3/13/2020,2224,50
3/14/2020,2898,60
3/15/2020,3600,68
3/16/2020,4507,91
3/17/2020,5906,117
3/18/2020,8350,162
3/19/2020,12393,212
3/20/2020,18012,277
3/21/2020,24528,360
3/22/2020,33073,458
3/23/2020,43505,579
3/24/2020,53938,785
3/25/2020,68572,1054
3/26/2020,85570,1353
3/27/2020,102900,1770
3/28/2020,123966,2300
3/29/2020,142486,2718
3/30/2020,163955,3368
3/31/2020,188461,4304
3/1/2021,28680857,514404
3/2/2021,28738501,515710
3/3/2021,28805113,518079
3/4/2021,28872395,520028
3/5/2021,28938090,522511
3/6/2021,28994675,523970
3/7/2021,29034739,524646
3/8/2021,29129252,525466
3/9/2021,29185151,527351
3/10/2021,29243346,528825
3/11/2021,29305733,530349
3/12/2021,29369899,532054
3/13/2021,29419456,533928
3/14/2021,29457445,534497
3/15/2021,29514609,535250
3/16/2021,29569140,536494
3/17/2021,29628071,537671
3/18/2021,29688541,539229
3/19/2021,29749164,540743
3/20/2021,29803589,541515
3/21/2021,29837782,541963
3/22/2021,29892498,542611
3/23/2021,29949244,543504
3/24/2021,30029147,545094
3/25/2021,30098263,546364
3/26/2021,30172762,547624
3/27/2021,30233462,548404
3/28/2021,30277977,548894
3/29/2021,30348716,549579
3/30/2021,30410950,550526
3/31/2021,30478886,551661
3/1/2022,78986396,950788
3/2/2022,79044542,953136
3/3/2022,79096279,955018
3/4/2022,79145866,956910
3/5/2022,79162481,957217
3/6/2022,79169256,957429
3/7/2022,79232308,959115
3/8/2022,79266324,960690
3/9/2022,79314028,962503
3/10/2022,79352221,964062
3/11/2022,79396596,965746
3/12/2022,79407518,966218
3/13/2022,79413908,966361
3/14/2022,79462956,963926
3/15/2022,79511352,965449
3/16/2022,79550748,967482
3/17/2022,79586734,968690
3/18/2022,79623203,969733
3/19/2022,79635322,970065
3/20/2022,79643175,970148
3/21/2022,79689310,971107
3/22/2022,79714979,972104
3/23/2022,79762066,973459
3/24/2022,79799812,974441
3/25/2022,79833549,975273
3/26/2022,79845604,975436
3/27/2022,79853102,975486
3/28/2022,79895338,976396
3/29/2022,79920966,977153
3/30/2022,79966408,978361
3/31/2022,80004185,979236
3/1/2023,103233169,1128090
3/2/2023,103295280,1128722
3/3/2023,103364789,1129424
3/4/2023,103366460,1129434
3/5/2023,103368027,1129434
3/6/2023,103382801,1129530
3/7/2023,103406609,1129852
3/8/2023,103469981,1130471
3/9/2023,103525528,1131912
3/10/2023,103535689,1131963
3/11/2023,103537178,1131969
3/12/2023,103538183,1131968
3/13/2023,103551298,1132071
3/14/2023,103571472,1132310
3/15/2023,103709101,1133022
3/16/2023,103763561,1133461
3/17/2023,103782317,1133824
3/18/2023,103783492,1133826
3/19/2023,103784916,1133826
3/20/2023,103794703,1133964
3/21/2023,103813076,1134177
3/22/2023,103864888,1134913
3/23/2023,103910034,1135343
