COUNTY,fips,cases
Autauga,1001,19759
Baldwin,1003,69767
Barbour,1005,7474
Bibb,1007,8087
Blount,1009,18673
Bullock,1011,3025
Butler,1013,6538
Calhoun,1015,41338
Chambers,1017,10846
Cherokee,1019,6750
Chilton,1021,12983
Choctaw,1023,2257
Clarke,1025,8544
Clay,1027,5156
Cleburne,1029,4423
Coffee,1031,17155
Colbert,1033,21263
Conecuh,1035,3599
Coosa,1037,3767
Covington,1039,11794
Crenshaw,1041,4733
Cullman,1043,31488
Dale,1045,16483
Dallas,1047,10990
DeKalb,1049,22501
Elmore,1051,29790
Escambia,1053,12361
Etowah,1055,34193
Fayette,1057,5876
Franklin,1059,12015
Geneva,1061,7954
Greene,1063,2302
Hale,1065,5717
Henry,1067,5851
Houston,1069,32598
Jackson,1071,18348
Jefferson,1073,238320
Lamar,1075,4733
Lauderdale,1077,30376
Lawrence,1079,9383
Lee,1081,47576
Limestone,1083,32113
Lowndes,1085,3362
Macon,1087,5284
Madison,1089,115917
Marengo,1091,6085
Marion,1093,10109
Marshall,1095,32927
Mobile,1097,134807
Monroe,1099,6736
Montgomery,1101,73718
Morgan,1103,46458
Perry,1105,2663
Pickens,1107,6332
Pike,1109,9256
Randolph,1111,6514
Russell,1113,13014
Shelby,1117,78005
St. Clair,1115,33262
Sumter,1119,3171
Talladega,1121,28555
Tallapoosa,1123,14598
Tuscaloosa,1125,70829
Walker,1127,24100
Washington,1129,4391
Wilcox,1131,3650
Winston,1133,9420
Aleutians East Borough,2013,1316
Aleutians West Census Area,2016,1997
Anchorage,2020,123548
Bethel Census Area,2050,12953
Bristol Bay plus Lake and Peninsula,2997,1233
Denali Borough,2068,1793
Dillingham Census Area,2070,2266
Fairbanks North Star Borough,2090,33388
Haines Borough,2100,801
Juneau City and Borough,2110,11883
Kenai Peninsula Borough,2122,22471
Ketchikan Gateway Borough,2130,5103
Kodiak Island Borough,2150,5858
Kusilvak Census Area,2158,4918
Matanuska-Susitna Borough,2170,40586
Nome Census Area,2180,7605
North Slope Borough,2185,5495
Northwest Arctic Borough,2188,5790
Petersburg Borough,2195,916
Prince of Wales-Hyder Census Area,2198,1826
Sitka City and Borough,2220,3482
Skagway Municipality,2230,664
Southeast Fairbanks Census Area,2240,2459
Unknown,,1822
Valdez-Cordova Census Area,2261,3693
Wrangell City and Borough,2275,797
Yakutat plus Hoonah-Angoon,2998,963
Yukon-Koyukuk Census Area,2290,1751
Unknown,,8309
Apache,4001,36106
Cochise,4003,39039
Coconino,4005,52753
Gila,4007,21371
Graham,4009,14088
Greenlee,4011,2716
La Paz,4012,5944
Maricopa,4013,1528983
Mohave,4015,67185
Navajo,4017,48202
Pima,4019,316374
Pinal,4021,156703
Santa Cruz,4023,19597
Yavapai,4025,60190
Yuma,4027,71043
Arkansas,5001,7000
Ashley,5003,6237
Baxter,5005,10692
Benton,5007,77246
Boone,5009,11251
Bradley,5011,3594
Calhoun,5013,1193
Carroll,5015,7267
Chicot,5017,3126
Clark,5019,6406
Clay,5021,5134
Cleburne,5023,8024
Cleveland,5025,2673
Columbia,5027,6784
Conway,5029,6586
Craighead,5031,47215
Crawford,5033,18622
Crittenden,5035,16677
Cross,5037,5737
Dallas,5039,2070
Desha,5041,3648
Drew,5043,5628
Faulkner,5045,42906
Franklin,5047,4484
Fulton,5049,3102
Garland,5051,27025
Grant,5053,5239
Greene,5055,19730
Hempstead,5057,5629
Hot Spring,5059,13039
Howard,5061,4652
Independence,5063,12766
Izard,5065,4704
Jackson,5067,7260
Jefferson,5069,22334
Johnson,5071,8187
Lafayette,5073,1504
Lawrence,5075,6509
Lee,5077,3339
Lincoln,5079,5498
Little River,5081,3885
Logan,5083,6062
Lonoke,5085,23952
Madison,5087,4846
Marion,5089,4087
Miller,5091,11610
Mississippi,5093,16381
Monroe,5095,2309
Montgomery,5097,1769
Nevada,5099,2766
Newton,5101,2045
Ouachita,5103,6767
Perry,5105,3007
Phillips,5107,5882
Pike,5109,2957
Poinsett,5111,10085
Polk,5113,4649
Pope,5115,20947
Prairie,5117,2414
Pulaski,5119,127673
Randolph,5121,6426
Saline,5125,37052
Scott,5127,2849
Searcy,5129,2553
Sebastian,5131,39280
Sevier,5133,7117
Sharp,5135,5705
St. Francis,5123,8560
Stone,5137,3696
Union,5139,11268
Unknown,,33455
Van Buren,5141,4334
Washington,5143,80726
White,5145,27059
Woodruff,5147,2269
Yell,5149,7593
Alameda,6001,399812
Alpine,6003,143
Amador,6005,11506
Butte,6007,51819
Calaveras,6009,9613
Colusa,6011,5318
Contra Costa,6013,293710
Del Norte,6015,8389
El Dorado,6017,39039
Fresno,6019,328236
Glenn,6021,7793
Humboldt,6023,29203
Imperial,6025,88598
Inyo,6027,6061
Kern,6029,309529
Kings,6031,67230
Lake,6033,14900
Lassen,6035,11696
Los Angeles,6037,3706328
Madera,6039,55031
Marin,6041,54600
Mariposa,6043,4541
Mendocino,6045,21670
Merced,6047,89019
Modoc,6049,1323
Mono,6051,3623
Monterey,6053,121537
Napa,6055,35846
Nevada,6057,22430
Orange,6059,785616
Placer,6061,90999
Plumas,6063,4285
Riverside,6065,774528
Sacramento,6067,407116
San Benito,6069,18728
San Bernardino,6071,743344
San Diego,6073,1064156
San Francisco,6075,208545
San Joaquin,6077,226173
San Luis Obispo,6079,74424
San Mateo,6081,193639
Santa Barbara,6083,119604
Santa Clara,6085,495009
Santa Cruz,6087,72083
Shasta,6089,44707
Sierra,6091,372
Siskiyou,6093,8886
Solano,6095,122060
Sonoma,6097,119050
Stanislaus,6099,167774
Sutter,6101,28229
Tehama,6103,17843
Trinity,6105,1977
Tulare,6107,168140
Tuolumne,6109,18160
Ventura,6111,238577
Yolo,6113,54784
Yuba,6115,21846
Adams,8001,166183
Alamosa,8003,5944
Arapahoe,8005,196867
Archuleta,8007,3533
Baca,8009,1026
Bent,8011,3002
Boulder,8013,91195
Broomfield,8014,18364
Chaffee,8015,5660
Cheyenne,8017,392
Clear Creek,8019,1931
Conejos,8021,2303
Costilla,8023,961
Crowley,8025,3558
Custer,8027,836
Delta,8029,7190
Denver,8031,224672
Dolores,8033,424
Douglas,8035,100895
Eagle,8037,18825
El Paso,8041,236916
Elbert,8039,5831
Fremont,8043,18746
Garfield,8045,18033
Gilpin,8047,1169
Grand,8049,4052
Gunnison,8051,3971
Hinsdale,8053,161
Huerfano,8055,1763
Jackson,8057,195
Jefferson,8059,160544
Kiowa,8061,391
Kit Carson,8063,1877
La Plata,8067,15820
Lake,8065,2203
Larimer,8069,109176
Las Animas,8071,4400
Lincoln,8073,2382
Logan,8075,8656
Mesa,8077,51776
Mineral,8079,302
Moffat,8081,3736
Montezuma,8083,7655
Montrose,8085,11178
Morgan,8087,6965
Otero,8089,5317
Ouray,8091,1117
Park,8093,3493
Phillips,8095,1121
Pitkin,8097,8077
Prowers,8099,3215
Pueblo,8101,61891
Rio Blanco,8103,2235
Rio Grande,8105,3633
Routt,8107,7872
Saguache,8109,1523
San Juan,8111,316
San Miguel,8113,2711
Sedgwick,8115,582
Summit,8117,12069
Teller,8119,5911
Unknown,,0
Washington,8121,1262
Weld,8123,106048
Yuma,8125,2340
Fairfield,9001,264139
Hartford,9003,236776
Litchfield,9005,41758
Middlesex,9007,38796
New Haven,9009,257575
New London,9011,73843
Tolland,9013,27876
Unknown,,3259
Windham,9015,31383
Kent,10001,64447
New Castle,10003,186969
Sussex,10005,78267
Unknown,,1110
District of Columbia,11001,177504
Alachua,12001,88755
Baker,12003,10650
Bay,12005,54974
Bradford,12007,9148
Brevard,12009,173316
Broward,12011,766482
Calhoun,12013,4891
Charlotte,12015,48122
Citrus,12017,38680
Clay,12019,66660
Collier,12021,104335
Columbia,12023,25498
DeSoto,12027,11203
Dixie,12029,4901
Duval,12031,315250
Escambia,12033,93779
Flagler,12035,28728
Franklin,12037,3517
Gadsden,12039,17572
Gilchrist,12041,5598
Glades,12043,2284
Gulf,12045,4987
Hamilton,12047,4526
Hardee,12049,10274
Hendry,12051,13692
Hernando,12053,53360
Highlands,12055,30451
Hillsborough,12057,475020
Holmes,12059,6310
Indian River,12061,42267
Jackson,12063,18064
Jefferson,12065,4976
Lafayette,12067,3133
Lake,12069,108065
Lee,12071,238903
Leon,12073,112384
Levy,12075,12672
Liberty,12077,2975
Madison,12079,6979
Manatee,12081,121836
Marion,12083,104701
Martin,12085,40147
Miami-Dade,12086,1531478
Monroe,12087,22365
Nassau,12089,27063
Okaloosa,12091,61528
Okeechobee,12093,12379
Orange,12095,470873
Osceola,12097,142763
Palm Beach,12099,475077
Pasco,12101,158158
Pinellas,12103,272832
Polk,12105,257616
Putnam,12107,21077
Santa Rosa,12113,58656
Sarasota,12115,119643
Seminole,12117,130983
St. Johns,12109,77928
St. Lucie,12111,95115
Sumter,12119,29852
Suwannee,12121,15833
Taylor,12123,8049
Union,12125,5096
Unknown,,329
Volusia,12127,149275
Wakulla,12129,12088
Walton,12131,19586
Washington,12133,7664
Appling,13001,5285
Atkinson,13003,2456
Bacon,13005,4106
Baker,13007,651
Baldwin,13009,11185
Banks,13011,4617
Barrow,13013,26045
Bartow,13015,35501
Ben Hill,13017,5016
Berrien,13019,5872
Bibb,13021,45437
Bleckley,13023,3947
Brantley,13025,4702
Brooks,13027,4062
Bryan,13029,11216
Bulloch,13031,17937
Burke,13033,6307
Butts,13035,7682
Calhoun,13037,1590
Camden,13039,13670
Candler,13043,2602
Carroll,13045,28468
Catoosa,13047,17084
Charlton,13049,3498
Chatham,13051,79708
Chattahoochee,13053,7925
Chattooga,13055,7608
Cherokee,13057,75811
Clarke,13059,35318
Clay,13061,628
Clayton,13063,77946
Clinch,13065,2457
Cobb,13067,216827
Coffee,13069,11851
Colquitt,13071,13665
Columbia,13073,43302
Cook,13075,5713
Coweta,13077,41226
Crawford,13079,2230
Crisp,13081,5610
Dade,13083,3972
Dawson,13085,8403
DeKalb,13089,193387
Decatur,13087,8634
Dodge,13091,5959
Dooly,13093,2857
Dougherty,13095,24467
Douglas,13097,43475
Early,13099,3155
Echols,13101,1058
Effingham,13103,16420
Elbert,13105,5350
Emanuel,13107,6793
Evans,13109,2854
Fannin,13111,5793
Fayette,13113,29611
Floyd,13115,32243
Forsyth,13117,68065
Franklin,13119,6243
Fulton,13121,276564
Gilmer,13123,8281
Glascock,13125,729
Glynn,13127,27276
Gordon,13129,19886
Grady,13131,6892
Greene,13133,4759
Gwinnett,13135,257328
Habersham,13137,11612
Hall,13139,64574
Hancock,13141,1949
Haralson,13143,6329
Harris,13145,7119
Hart,13147,5652
Heard,13149,2590
Henry,13151,72002
Houston,13153,49430
Irwin,13155,2240
Jackson,13157,24986
Jasper,13159,3772
Jeff Davis,13161,4368
Jefferson,13163,4253
Jenkins,13165,1796
Johnson,13167,2650
Jones,13169,6036
Lamar,13171,5845
Lanier,13173,2700
Laurens,13175,16458
Lee,13177,8801
Liberty,13179,15793
Lincoln,13181,1841
Long,13183,3489
Lowndes,13185,36980
Lumpkin,13187,9017
Macon,13193,2740
Madison,13195,8035
Marion,13197,1871
McDuffie,13189,6175
McIntosh,13191,2866
Meriwether,13199,5582
Miller,13201,2051
Mitchell,13205,6322
Monroe,13207,7067
Montgomery,13209,2336
Morgan,13211,5641
Murray,13213,13540
Muscogee,13215,45937
Newton,13217,30748
Oconee,13219,10558
Oglethorpe,13221,3763
Paulding,13223,46716
Peach,13225,7925
Pickens,13227,10148
Pierce,13229,6444
Pike,13231,6506
Polk,13233,13766
Pulaski,13235,2702
Putnam,13237,5266
Quitman,13239,553
Rabun,13241,4134
Randolph,13243,1831
Richmond,13245,60643
Rockdale,13247,23732
Schley,13249,1416
Screven,13251,3184
Seminole,13253,2535
Spalding,13255,19312
Stephens,13257,7325
Stewart,13259,3286
Sumter,13261,8737
Talbot,13263,1380
Taliaferro,13265,338
Tattnall,13267,5746
Taylor,13269,2440
Telfair,13271,3540
Terrell,13273,2553
Thomas,13275,14074
Tift,13277,13842
Toombs,13279,8026
Towns,13281,3093
Treutlen,13283,1884
Troup,13285,18781
Turner,13287,3192
Twiggs,13289,1848
Union,13291,6153
Unknown,,12537
Upson,13293,9642
Walker,13295,20100
Walton,13297,26702
Ware,13299,11388
Warren,13301,1295
Washington,13303,5142
Wayne,13305,8877
Webster,13307,544
Wheeler,13309,1592
White,13311,8339
Whitfield,13313,39252
Wilcox,13315,2421
Wilkes,13317,2627
Wilkinson,13319,2672
Worth,13321,5577
Unknown,,61951
Hawaii,15001,42529
Honolulu,15003,263852
Kalawao,15005,1
Kauai,15007,19117
Maui,15009,45447
Unknown,,0
Ada,16001,160029
Adams,16003,817
Bannock,16005,24424
Bear Lake,16007,1155
Benewah,16009,2742
Bingham,16011,11180
Blaine,16013,7289
Boise,16015,1296
Bonner,16017,10260
Bonneville,16019,35515
Boundary,16021,2411
Butte,16023,555
Camas,16025,181
Canyon,16027,70496
Caribou,16029,1668
Cassia,16031,5599
Clark,16033,117
Clearwater,16035,2683
Custer,16037,706
Elmore,16039,9042
Franklin,16041,2588
Fremont,16043,2415
Gem,16045,4257
Gooding,16047,3916
Idaho,16049,3600
Jefferson,16051,6836
Jerome,16053,7101
Kootenai,16055,47184
Latah,16057,7710
Lemhi,16059,1782
Lewis,16061,1401
Lincoln,16063,1297
Madison,16065,13788
Minidoka,16067,4806
Nez Perce,16069,10604
Oneida,16071,959
Owyhee,16073,2608
Payette,16075,6769
Power,16077,1692
Shoshone,16079,3119
Teton,16081,2937
Twin Falls,16083,28630
Valley,16085,3143
Washington,16087,2639
Adams,17001,27857
Alexander,17003,1569
Bond,17005,5287
Boone,17007,17482
Brown,17009,2869
Bureau,17011,10230
Calhoun,17013,1889
Carroll,17015,5011
Cass,17017,5609
Champaign,17019,85660
Christian,17021,12989
Clark,17023,5915
Clay,17025,5903
Clinton,17027,14336
Coles,17029,18933
Cook,17031,1524936
Crawford,17033,7846
Cumberland,17035,3997
De Witt,17039,5196
DeKalb,17037,32414
Douglas,17041,7904
DuPage,17043,288431
Edgar,17045,6600
Edwards,17047,2121
Effingham,17049,12797
Fayette,17051,8730
Ford,17053,5471
Franklin,17055,15354
Fulton,17057,12735
Gallatin,17059,1845
Greene,17061,4259
Grundy,17063,16232
Hamilton,17065,2660
Hancock,17067,5374
Hardin,17069,1445
Henderson,17071,1573
Henry,17073,15819
Iroquois,17075,8862
Jackson,17077,20076
Jasper,17079,3217
Jefferson,17081,13504
Jersey,17083,7833
Jo Daviess,17085,5151
Johnson,17087,5564
Kane,17089,165409
Kankakee,17091,36649
Kendall,17093,41622
Knox,17095,16163
LaSalle,17099,36972
Lake,17097,209370
Lawrence,17101,6828
Lee,17103,11553
Livingston,17105,13154
Logan,17107,12626
Macon,17115,40008
Macoupin,17117,15988
Madison,17119,87282
Marion,17121,14553
Marshall,17123,3471
Mason,17125,4726
Massac,17127,4641
McDonough,17109,9024
McHenry,17111,97848
McLean,17113,63949
Menard,17129,4578
Mercer,17131,4909
Monroe,17133,11412
Montgomery,17135,12128
Morgan,17137,12292
Moultrie,17139,4916
Ogle,17141,17410
Peoria,17143,59597
Perry,17145,9113
Piatt,17147,5563
Pike,17149,6138
Pope,17151,1261
Pulaski,17153,2049
Putnam,17155,1418
Randolph,17157,12892
Richland,17159,6305
Rock Island,17161,42234
Saline,17165,10311
Sangamon,17167,76182
Schuyler,17169,2470
Scott,17171,1567
Shelby,17173,7589
St. Clair,17163,88166
Stark,17175,1883
Stephenson,17177,14936
Tazewell,17179,45952
Union,17181,6839
Unknown,,0
Vermilion,17183,35082
Wabash,17185,4819
Warren,17187,5046
Washington,17189,4127
Wayne,17191,6590
White,17193,5423
Whiteside,17195,19414
Will,17197,215914
Williamson,17199,28813
Winnebago,17201,100231
Woodford,17203,12578
Adams,18001,8730
Allen,18003,124122
Bartholomew,18005,26817
Benton,18007,2978
Blackford,18009,3696
Boone,18011,17373
Brown,18013,2981
Carroll,18015,4917
Cass,18017,14072
Clark,18019,41173
Clay,18021,8150
Clinton,18023,10651
Crawford,18025,3098
Daviess,18027,9055
DeKalb,18033,13633
Dearborn,18029,16226
Decatur,18031,8572
Delaware,18035,30156
Dubois,18037,15061
Elkhart,18039,61389
Fayette,18041,8349
Floyd,18043,24178
Fountain,18045,6417
Franklin,18047,5198
Fulton,18049,5767
Gibson,18051,14348
Grant,18053,20999
Greene,18055,9075
Hamilton,18057,96794
Hancock,18059,25198
Harrison,18061,13336
Hendricks,18063,47745
