,date,county,state,fips,cases,deaths
192116,2023-03-01,Autauga,Alabama,1001.0,19759,232.0
192117,2023-03-01,Baldwin,Alabama,1003.0,69767,726.0
192118,2023-03-01,Barbour,Alabama,1005.0,7474,113.0
192119,2023-03-01,Bibb,Alabama,1007.0,8087,109.0
192120,2023-03-01,Blount,Alabama,1009.0,18673,261.0
192121,2023-03-01,Bullock,Alabama,1011.0,3025,54.0
192122,2023-03-01,Butler,Alabama,1013.0,6538,132.0
192123,2023-03-01,Calhoun,Alabama,1015.0,41338,678.0
192124,2023-03-01,Chambers,Alabama,1017.0,10846,180.0
192125,2023-03-01,Cherokee,Alabama,1019.0,6750,135.0
192126,2023-03-01,Chilton,Alabama,1021.0,12983,228.0
192127,2023-03-01,Choctaw,Alabama,1023.0,2257,63.0
192128,2023-03-01,Clarke,Alabama,1025.0,8544,115.0
192129,2023-03-01,Clay,Alabama,1027.0,5156,93.0
192130,2023-03-01,Cleburne,Alabama,1029.0,4423,75.0
192131,2023-03-01,Coffee,Alabama,1031.0,17155,245.0
192132,2023-03-01,Colbert,Alabama,1033.0,21263,279.0
192133,2023-03-01,Conecuh,Alabama,1035.0,3599,76.0
192134,2023-03-01,Coosa,Alabama,1037.0,3767,64.0
192135,2023-03-01,Covington,Alabama,1039.0,11794,277.0
192136,2023-03-01,Crenshaw,Alabama,1041.0,4733,110.0
192137,2023-03-01,Cullman,Alabama,1043.0,31488,396.0
192138,2023-03-01,Dale,Alabama,1045.0,16483,245.0
192139,2023-03-01,Dallas,Alabama,1047.0,10990,259.0
192140,2023-03-01,DeKalb,Alabama,1049.0,22501,354.0
192141,2023-03-01,Elmore,Alabama,1051.0,29790,361.0
192142,2023-03-01,Escambia,Alabama,1053.0,12361,192.0
192143,2023-03-01,Etowah,Alabama,1055.0,34193,692.0
192144,2023-03-01,Fayette,Alabama,1057.0,5876,100.0
192145,2023-03-01,Franklin,Alabama,1059.0,12015,152.0
192146,2023-03-01,Geneva,Alabama,1061.0,7954,172.0
192147,2023-03-01,Greene,Alabama,1063.0,2302,54.0
192148,2023-03-01,Hale,Alabama,1065.0,5717,110.0
192149,2023-03-01,Henry,Alabama,1067.0,5851,79.0
192150,2023-03-01,Houston,Alabama,1069.0,32598,531.0
192151,2023-03-01,Jackson,Alabama,1071.0,18348,281.0
192152,2023-03-01,Jefferson,Alabama,1073.0,238320,2534.0
192153,2023-03-01,Lamar,Alabama,1075.0,4733,96.0
192154,2023-03-01,Lauderdale,Alabama,1077.0,30376,420.0
192155,2023-03-01,Lawrence,Alabama,1079.0,9383,187.0
192156,2023-03-01,Lee,Alabama,1081.0,47576,405.0
192157,2023-03-01,Limestone,Alabama,1083.0,32113,318.0
192158,2023-03-01,Lowndes,Alabama,1085.0,3362,82.0
192159,2023-03-01,Macon,Alabama,1087.0,5284,90.0
192160,2023-03-01,Madison,Alabama,1089.0,115917,1059.0
192161,2023-03-01,Marengo,Alabama,1091.0,6085,116.0
192162,2023-03-01,Marion,Alabama,1093.0,10109,161.0
192163,2023-03-01,Marshall,Alabama,1095.0,32927,409.0
192164,2023-03-01,Mobile,Alabama,1097.0,134807,1800.0
192165,2023-03-01,Monroe,Alabama,1099.0,6736,106.0
192166,2023-03-01,Montgomery,Alabama,1101.0,73718,1008.0
192167,2023-03-01,Morgan,Alabama,1103.0,46458,550.0
192168,2023-03-01,Perry,Alabama,1105.0,2663,50.0
192169,2023-03-01,Pickens,Alabama,1107.0,6332,122.0
192170,2023-03-01,Pike,Alabama,1109.0,9256,142.0
192171,2023-03-01,Randolph,Alabama,1111.0,6514,135.0
192172,2023-03-01,Russell,Alabama,1113.0,13014,257.0
192173,2023-03-01,Shelby,Alabama,1117.0,78005,481.0
192174,2023-03-01,St. Clair,Alabama,1115.0,33262,441.0
192175,2023-03-01,Sumter,Alabama,1119.0,3171,58.0
192176,2023-03-01,Talladega,Alabama,1121.0,28555,409.0
192177,2023-03-01,Tallapoosa,Alabama,1123.0,14598,253.0
192178,2023-03-01,Tuscaloosa,Alabama,1125.0,70829,852.0
192179,2023-03-01,Walker,Alabama,1127.0,24100,479.0
192180,2023-03-01,Washington,Alabama,1129.0,4391,70.0
192181,2023-03-01,Wilcox,Alabama,1131.0,3650,58.0
192182,2023-03-01,Winston,Alabama,1133.0,9420,140.0
192183,2023-03-01,Aleutians East Borough,Alaska,2013.0,1316,5.0
192184,2023-03-01,Aleutians West Census Area,Alaska,2016.0,1997,2.0
192185,2023-03-01,Anchorage,Alaska,2020.0,123548,593.0
192186,2023-03-01,Bethel Census Area,Alaska,2050.0,12953,47.0
192187,2023-03-01,Bristol Bay plus Lake and Peninsula,Alaska,2997.0,1233,1.0
192188,2023-03-01,Denali Borough,Alaska,2068.0,1793,2.0
192189,2023-03-01,Dillingham Census Area,Alaska,2070.0,2266,14.0
192190,2023-03-01,Fairbanks North Star Borough,Alaska,2090.0,33388,172.0
192191,2023-03-01,Haines Borough,Alaska,2100.0,801,1.0
192192,2023-03-01,Juneau City and Borough,Alaska,2110.0,11883,27.0
192193,2023-03-01,Kenai Peninsula Borough,Alaska,2122.0,22471,122.0
