name,fips,cases
South Carolina,45001.0,7834.0
Louisiana,22001.0,19022.0
Virginia,51001.0,9151.0
Idaho,16001.0,160792.0
Iowa,19001.0,1809.0
Kentucky,21001.0,7900.0
Missouri,29001.0,6741.0
Oklahoma,40001.0,9887.0
Colorado,8001.0,166901.0
Idaho,16003.0,825.0
Illinois,17001.0,28086.0
Indiana,18001.0,8764.0
Iowa,19003.0,944.0
Mississippi,28001.0,8630.0
Nebraska,31001.0,7877.0
North Dakota,38001.0,691.0
Ohio,39001.0,8940.0
Pennsylvania,42001.0,31849.0
Washington,53001.0,5667.0
Wisconsin,55001.0,5880.0
Vermont,50001.0,7054.0
Puerto Rico,72001.0,6980.0
Puerto Rico,72003.0,13070.0
Puerto Rico,72005.0,16879.0
Puerto Rico,72007.0,8589.0
Puerto Rico,72009.0,8625.0
South Carolina,45003.0,52541.0
Minnesota,27001.0,3730.0
Florida,12001.0,89614.0
North Carolina,37001.0,62085.0
California,6001.0,404269.0
Colorado,8003.0,5981.0
New York,36001.0,79625.0
Wyoming,56001.0,11610.0
Virginia,51003.0,25512.0
Michigan,26001.0,1953.0
Mississippi,28003.0,12840.0
Alaska,2013.0,1328.0
Alaska,2016.0,1993.0
Illinois,17003.0,1578.0
North Carolina,37003.0,12798.0
Virginia,51510.0,45665.0
Oklahoma,40003.0,1895.0
Michigan,26003.0,2318.0
Iowa,19005.0,3265.0
Michigan,26005.0,32312.0
Maryland,24001.0,21813.0
New York,36003.0,10947.0
North Carolina,37005.0,3774.0
Virginia,51005.0,4576.0
Pennsylvania,42003.0,341178.0
Indiana,18003.0,124615.0
Kansas,20001.0,5145.0
Kentucky,21003.0,8558.0
Louisiana,22003.0,9114.0
Ohio,39003.0,34177.0
South Carolina,45005.0,2433.0
Michigan,26007.0,6696.0
California,6003.0,143.0
California,6005.0,11583.0
Virginia,51007.0,3593.0
Virginia,51009.0,9665.0
Mississippi,28005.0,3888.0
Puerto Rico,72011.0,8610.0
Alaska,2020.0,123977.0
Kansas,20003.0,2603.0
Kentucky,21005.0,8526.0
South Carolina,45007.0,70338.0
Tennessee,47001.0,28030.0
Texas,48001.0,11283.0
Missouri,29003.0,5676.0
Texas,48003.0,4477.0
Maine,23001.0,28629.0
Texas,48005.0,13510.0
Maryland,24003.0,120236.0
Minnesota,27003.0,119732.0
North Carolina,37007.0,8493.0
Nebraska,31003.0,1308.0
Michigan,26009.0,5307.0
