fips,cases
1001,19759
1003,69767
1005,7474
1007,8087
1009,18673
1011,3025
1013,6538
1015,41338
1017,10846
1019,6750
1021,12983
1023,2257
1025,8544
1027,5156
1029,4423
1031,17155
1033,21263
1035,3599
1037,3767
1039,11794
1041,4733
1043,31488
1045,16483
1047,10990
1049,22501
1051,29790
1053,12361
1055,34193
1057,5876
1059,12015
1061,7954
1063,2302
1065,5717
1067,5851
1069,32598
1071,18348
1073,238320
1075,4733
1077,30376
1079,9383
1081,47576
1083,32113
1085,3362
1087,5284
1089,115917
1091,6085
1093,10109
1095,32927
1097,134807
1099,6736
1101,73718
1103,46458
1105,2663
1107,6332
1109,9256
1111,6514
1113,13014
1117,78005
1115,33262
1119,3171
1121,28555
1123,14598
1125,70829
1127,24100
1129,4391
1131,3650
1133,9420
2013,1316
2016,1997
2020,123548
2050,12953
2997,1233
2068,1793
2070,2266
2090,33388
2100,801
2110,11883
2122,22471
2130,5103
2150,5858
2158,4918
2170,40586
2180,7605
2185,5495
2188,5790
2195,916
2198,1826
2220,3482
2230,664
2240,2459
,1822
2261,3693
2275,797
2998,963
2290,1751
,8309
4001,36106
4003,39039
4005,52753
4007,21371
4009,14088
4011,2716
4012,5944
4013,1528983
4015,67185
4017,48202
4019,316374
4021,156703
4023,19597
4025,60190
4027,71043
5001,7000
5003,6237
5005,10692
5007,77246
5009,11251
5011,3594
5013,1193
5015,7267
5017,3126
5019,6406
5021,5134
5023,8024
5025,2673
5027,6784
5029,6586
5031,47215
5033,18622
5035,16677
5037,5737
5039,2070
5041,3648
5043,5628
5045,42906
5047,4484
5049,3102
5051,27025
5053,5239
5055,19730
5057,5629
5059,13039
5061,4652
5063,12766
5065,4704
5067,7260
5069,22334
5071,8187
5073,1504
5075,6509
5077,3339
5079,5498
5081,3885
5083,6062
5085,23952
5087,4846
5089,4087
5091,11610
5093,16381
5095,2309
5097,1769
5099,2766
5101,2045
5103,6767
5105,3007
5107,5882
5109,2957
5111,10085
5113,4649
5115,20947
5117,2414
5119,127673
5121,6426
5125,37052
5127,2849
5129,2553
5131,39280
5133,7117
5135,5705
5123,8560
5137,3696
5139,11268
,33455
5141,4334
5143,80726
5145,27059
5147,2269
5149,7593
6001,399812
6003,143
6005,11506
6007,51819
6009,9613
6011,5318
6013,293710
6015,8389
6017,39039
6019,328236
6021,7793
6023,29203
6025,88598
6027,6061
6029,309529
6031,67230
6033,14900
6035,11696
6037,3706328
6039,55031
6041,54600
6043,4541
6045,21670
6047,89019
6049,1323
6051,3623
6053,121537
6055,35846
6057,22430
6059,785616
6061,90999
6063,4285
6065,774528
6067,407116
6069,18728
6071,743344
6073,1064156
6075,208545
6077,226173
6079,74424
6081,193639
6083,119604
6085,495009
6087,72083
6089,44707
6091,372
6093,8886
6095,122060
6097,119050
6099,167774
6101,28229
6103,17843
6105,1977
6107,168140
6109,18160
6111,238577
6113,54784
6115,21846
8001,166183
8003,5944
8005,196867
8007,3533
8009,1026
8011,3002
8013,91195
8014,18364
8015,5660
8017,392
8019,1931
8021,2303
8023,961
8025,3558
8027,836
8029,7190
8031,224672
8033,424
8035,100895
8037,18825
8041,236916
8039,5831
8043,18746
8045,18033
8047,1169
8049,4052
8051,3971
8053,161
8055,1763
8057,195
8059,160544
8061,391
8063,1877
8067,15820
8065,2203
8069,109176
8071,4400
8073,2382
8075,8656
8077,51776
8079,302
8081,3736
8083,7655
8085,11178
8087,6965
8089,5317
8091,1117
8093,3493
8095,1121
8097,8077
8099,3215
8101,61891
8103,2235
8105,3633
8107,7872
8109,1523
8111,316
8113,2711
8115,582
8117,12069
8119,5911
,0
8121,1262
8123,106048
8125,2340
9001,264139
9003,236776
9005,41758
9007,38796
9009,257575
9011,73843
9013,27876
,3259
9015,31383
10001,64447
10003,186969
10005,78267
,1110
11001,177504
12001,88755
12003,10650
12005,54974
12007,9148
12009,173316
12011,766482
12013,4891
12015,48122
12017,38680
12019,66660
12021,104335
12023,25498
12027,11203
12029,4901
12031,315250
12033,93779
12035,28728
12037,3517
12039,17572
12041,5598
12043,2284
12045,4987
12047,4526
12049,10274
12051,13692
12053,53360
12055,30451
12057,475020
12059,6310
12061,42267
12063,18064
12065,4976
12067,3133
12069,108065
12071,238903
12073,112384
12075,12672
12077,2975
12079,6979
12081,121836
12083,104701
12085,40147
12086,1531478
12087,22365
12089,27063
12091,61528
12093,12379
12095,470873
12097,142763
12099,475077
12101,158158
12103,272832
12105,257616
12107,21077
12113,58656
12115,119643
12117,130983
12109,77928
12111,95115
12119,29852
12121,15833
12123,8049
12125,5096
,329
12127,149275
12129,12088
12131,19586
12133,7664
13001,5285
13003,2456
13005,4106
13007,651
13009,11185
13011,4617
13013,26045
13015,35501
13017,5016
13019,5872
13021,45437
13023,3947
13025,4702
13027,4062
13029,11216
13031,17937
13033,6307
13035,7682
13037,1590
13039,13670
13043,2602
13045,28468
13047,17084
13049,3498
13051,79708
13053,7925
13055,7608
13057,75811
13059,35318
13061,628
13063,77946
13065,2457
13067,216827
13069,11851
13071,13665
13073,43302
13075,5713
13077,41226
13079,2230
13081,5610
13083,3972
13085,8403
13089,193387
13087,8634
13091,5959
13093,2857
13095,24467
13097,43475
13099,3155
13101,1058
13103,16420
13105,5350
13107,6793
13109,2854
13111,5793
13113,29611
13115,32243
13117,68065
13119,6243
13121,276564
13123,8281
13125,729
13127,27276
13129,19886
13131,6892
13133,4759
13135,257328
13137,11612
13139,64574
13141,1949
13143,6329
13145,7119
13147,5652
13149,2590
13151,72002
13153,49430
13155,2240
13157,24986
13159,3772
13161,4368
13163,4253
13165,1796
13167,2650
13169,6036
13171,5845
13173,2700
13175,16458
13177,8801
13179,15793
13181,1841
13183,3489
13185,36980
13187,9017
13193,2740
13195,8035
13197,1871
13189,6175
13191,2866
13199,5582
13201,2051
13205,6322
13207,7067
13209,2336
13211,5641
13213,13540
13215,45937
13217,30748
13219,10558
13221,3763
13223,46716
13225,7925
13227,10148
13229,6444
13231,6506
13233,13766
13235,2702
13237,5266
13239,553
13241,4134
13243,1831
13245,60643
13247,23732
13249,1416
13251,3184
13253,2535
13255,19312
13257,7325
13259,3286
13261,8737
13263,1380
13265,338
13267,5746
13269,2440
13271,3540
13273,2553
13275,14074
13277,13842
13279,8026
13281,3093
13283,1884
13285,18781
13287,3192
13289,1848
13291,6153
,12537
13293,9642
13295,20100
13297,26702
13299,11388
13301,1295
13303,5142
13305,8877
13307,544
13309,1592
13311,8339
13313,39252
13315,2421
13317,2627
13319,2672
13321,5577
,61951
15001,42529
15003,263852
15005,1
15007,19117
15009,45447
,0
16001,160029
16003,817
16005,24424
16007,1155
16009,2742
16011,11180
16013,7289
16015,1296
16017,10260
16019,35515
16021,2411
16023,555
16025,181
16027,70496
16029,1668
16031,5599
16033,117
16035,2683
16037,706
16039,9042
16041,2588
16043,2415
16045,4257
16047,3916
16049,3600
16051,6836
16053,7101
16055,47184
16057,7710
16059,1782
16061,1401
16063,1297
16065,13788
16067,4806
16069,10604
16071,959
16073,2608
16075,6769
16077,1692
16079,3119
16081,2937
16083,28630
16085,3143
16087,2639
17001,27857
17003,1569
17005,5287
17007,17482
17009,2869
17011,10230
17013,1889
17015,5011
17017,5609
17019,85660
17021,12989
17023,5915
17025,5903
17027,14336
17029,18933
17031,1524936
17033,7846
17035,3997
17039,5196
17037,32414
17041,7904
17043,288431
17045,6600
17047,2121
17049,12797
17051,8730
17053,5471
17055,15354
17057,12735
17059,1845
17061,4259
17063,16232
17065,2660
17067,5374
17069,1445
17071,1573
17073,15819
17075,8862
17077,20076
17079,3217
17081,13504
17083,7833
17085,5151
17087,5564
17089,165409
17091,36649
17093,41622
17095,16163
17099,36972
17097,209370
17101,6828
17103,11553
17105,13154
17107,12626
17115,40008
17117,15988
17119,87282
17121,14553
17123,3471
17125,4726
17127,4641
17109,9024
17111,97848
17113,63949
17129,4578
17131,4909
17133,11412
17135,12128
17137,12292
17139,4916
17141,17410
17143,59597
17145,9113
17147,5563
17149,6138
17151,1261
17153,2049
17155,1418
17157,12892
17159,6305
17161,42234
17165,10311
17167,76182
17169,2470
17171,1567
17173,7589
17163,88166
17175,1883
17177,14936
17179,45952
17181,6839
,0
17183,35082
17185,4819
17187,5046
17189,4127
17191,6590
17193,5423
17195,19414
17197,215914
17199,28813
17201,100231
17203,12578
18001,8730
18003,124122
18005,26817
18007,2978
18009,3696
18011,17373
18013,2981
18015,4917
18017,14072
18019,41173
18021,8150
18023,10651
18025,3098
18027,9055
18033,13633
18029,16226
18031,8572
18035,30156
18037,15061
18039,61389
18041,8349
