state,date,cases
Alabama,2023-03-23,1648385
Alaska,2023-03-23,308893
American Samoa,2023-03-23,8321
Arizona,2023-03-23,2451062
Arkansas,2023-03-23,1008303
California,2023-03-23,12169158
Colorado,2023-03-23,1771010
Connecticut,2023-03-23,978456
Delaware,2023-03-23,332861
District of Columbia,2023-03-23,178226
Florida,2023-03-23,7542869
Georgia,2023-03-23,2984923
Guam,2023-03-23,62077
Hawaii,2023-03-23,372408
Idaho,2023-03-23,522919
Illinois,2023-03-23,4107931
Indiana,2023-03-23,2054533
Iowa,2023-03-23,907421
Kansas,2023-03-23,940815
Kentucky,2023-03-23,1723443
Louisiana,2023-03-23,1580709
Maine,2023-03-23,319997
Maryland,2023-03-23,1369930
Massachusetts,2023-03-23,2230150
Michigan,2023-03-23,3068195
Minnesota,2023-03-23,1784263
Mississippi,2023-03-23,993035
Missouri,2023-03-23,1794207
Montana,2023-03-23,330875
Nebraska,2023-03-23,570835
Nevada,2023-03-23,892814
New Hampshire,2023-03-23,379689
New Jersey,2023-03-23,3057442
New Mexico,2023-03-23,673541
New York,2023-03-23,6805271
North Carolina,2023-03-23,3481732
North Dakota,2023-03-23,288106
Northern Mariana Islands,2023-03-23,13395
Ohio,2023-03-23,3415254
Oklahoma,2023-03-23,1295832
Oregon,2023-03-23,967156
Pennsylvania,2023-03-23,3539135
Puerto Rico,2023-03-23,1139243
Rhode Island,2023-03-23,461788
South Carolina,2023-03-23,1840458
South Dakota,2023-03-23,280525
Tennessee,2023-03-23,2459152
Texas,2023-03-23,8447168
Utah,2023-03-23,1093049
Vermont,2023-03-23,153198
Virgin Islands,2023-03-23,24838
Virginia,2023-03-23,2298300
Washington,2023-03-23,1940704
West Virginia,2023-03-23,645710
Wisconsin,2023-03-23,2014524
Wyoming,2023-03-23,185800
