date,state,fips,cases,deaths
3/1/2023,Alabama,1,1642062,21511
3/1/2023,Alaska,2,307377,1438
3/1/2023,American Samoa,60,8320,34
3/1/2023,Arizona,4,2440294,33077
3/1/2023,Arkansas,5,1004752,12984
3/1/2023,California,6,12089197,103582
3/1/2023,Colorado,8,1762392,14127
3/1/2023,Connecticut,9,975405,12179
3/1/2023,Delaware,10,330793,3324
3/1/2023,District of Columbia,11,177504,1427
3/1/2023,Florida,12,7473371,86294
3/1/2023,Georgia,13,2976487,40918
3/1/2023,Guam,66,61951,421
3/1/2023,Hawaii,15,370946,1831
3/1/2023,Idaho,16,519946,5414
3/1/2023,Illinois,17,4069468,41379
3/1/2023,Indiana,18,2047622,26045
3/1/2023,Iowa,19,902075,10702
3/1/2023,Kansas,20,936416,10169
3/1/2023,Kentucky,21,1713220,18190
3/1/2023,Louisiana,22,1570671,18738
3/1/2023,Maine,23,316760,2935
3/1/2023,Maryland,24,1362473,16537
3/1/2023,Massachusetts,25,2216870,24131
3/1/2023,Michigan,26,3047915,42041
3/1/2023,Minnesota,27,1770117,14766
3/1/2023,Mississippi,28,989282,13379
3/1/2023,Missouri,29,1784075,23819
3/1/2023,Montana,30,328961,3674
3/1/2023,Nebraska,31,566206,5019
3/1/2023,Nevada,32,887803,12053
3/1/2023,New Hampshire,33,377435,2996
3/1/2023,New Jersey,34,3043089,35994
3/1/2023,New Mexico,35,669476,9057
3/1/2023,New York,36,6777357,79643
3/1/2023,North Carolina,37,3467226,29550
3/1/2023,North Dakota,38,286247,2510
3/1/2023,Northern Mariana Islands,69,13395,41
3/1/2023,Ohio,39,3382995,41826
3/1/2023,Oklahoma,40,1284450,16376
3/1/2023,Oregon,41,961523,9366
3/1/2023,Pennsylvania,42,3520813,50360
3/1/2023,Puerto Rico,72,1131859,5802
3/1/2023,Rhode Island,44,459256,3892
3/1/2023,South Carolina,45,1833731,20022
3/1/2023,South Dakota,46,278489,3202
3/1/2023,Tennessee,47,2446944,28931
3/1/2023,Texas,48,8337836,94141
3/1/2023,Utah,49,1087468,5276
3/1/2023,Vermont,50,152272,925
3/1/2023,Virgin Islands,78,24766,130
3/1/2023,Virginia,51,2288180,23738
3/1/2023,Washington,53,1928913,15728
3/1/2023,West Virginia,54,641856,8062
3/1/2023,Wisconsin,55,2001703,16382
3/1/2023,Wyoming,56,185159,2002
3/2/2023,Alabama,1,1642062,21511
3/2/2023,Alaska,2,307377,1438
3/2/2023,American Samoa,60,8320,34
3/2/2023,Arizona,4,2440294,33077
3/2/2023,Arkansas,5,1005212,12994
3/2/2023,California,6,12108673,103692
3/2/2023,Colorado,8,1762822,14127
3/2/2023,Connecticut,9,975537,12187
3/2/2023,Delaware,10,330793,3324
3/2/2023,District of Columbia,11,177714,1430
3/2/2023,Florida,12,7473371,86294
3/2/2023,Georgia,13,2976487,40918
3/2/2023,Guam,66,61951,421
3/2/2023,Hawaii,15,370946,1831
3/2/2023,Idaho,16,519977,5414
3/2/2023,Illinois,17,4080061,41443
3/2/2023,Indiana,18,2047622,26091
3/2/2023,Iowa,19,902075,10702
3/2/2023,Kansas,20,936416,10169
3/2/2023,Kentucky,21,1713220,18190
